name,city,brewery_type,url,address,address_2,postal_code,state_province,phone,website_url,social_media,country
Another Beer Co,New Westminster,"['Family Friendly', 'Has Tours', 'Shopping', 'Snacks']",https://bcaletrail.ca/breweries/another-beer-co/,Capilano Way,#11 - 30,V3L 5M3,BC,7782329112,http://www.anotherbeerco.com/store,"['https://twitter.com/anotherbeerco', 'https://www.facebook.com/anotherbeerco/', 'https://www.instagram.com/anotherbeerco/', 'https://untappd.com/w/another-beer-company/396668']",Canada
Arrowhead Brewing Company,Invermere,"['Board Games', 'Cider', 'Delivery from Local Restaurants Available', 'Dog Friendly Patio', 'Family Friendly', 'Food Truck(s)', 'Gender Neutral Washrooms', 'Growler Fills', 'Keg Sales/Rentals', 'Live Music', 'Merchandise', 'Non Alc Beer Available', 'Patio', 'Snacks', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/arrowhead-brewing-company/,481 Arrow Road,N/A,V0A 1K2,BC,7785262739,http://arrowheadbrewingcompany.ca,"['https://www.facebook.com/arrowheadbrew', 'https://www.instagram.com/arrowheadbrew/']",Canada
Backcountry Brewing,Squamish,"['Barrels', 'Beer Service', 'Brewpub', 'Cider', 'Experience', 'Family Friendly', 'Food Service', 'Growler Fills', 'Has Tours', 'Live Music', 'Merchandise', 'Take-Out', 'What Else?', 'Wine']",https://bcaletrail.ca/breweries/backcountry-brewing/,405-1201 Commercial Place,N/A,N/A,BC,6045672739,http://www.backcountrybrewing.com,"['https://twitter.com/Backcountry604', 'https://www.facebook.com/backcountrybrewing/', 'https://www.instagram.com/backcountrybrewing/', 'https://untappd.com/w/backcountry-brewing/332875']",Canada
Backroads Brewing Company,Nelson,"['Family Friendly', 'Growler Fills', 'Merchandise', 'Shopping', 'Snacks', 'Take-Out']",https://bcaletrail.ca/breweries/backroads-brewing-company/,460 Baker St,N/A,V1L 4H7,BC,7784633361,http://backroadsbrewing.com,"['https://twitter.com/backroadsbrews', 'https://www.facebook.com/backroadsbrews/', 'https://www.instagram.com/backroadsbrewing/', 'https://untappd.com/BackroadsBrewingCo']",Canada
Backroads Brewing – Osoyoos,Osoyoos,"['Accessibility & Inclusion', 'Beer Service', 'Bike Racks', 'Canada Post delivery across BC', 'Cider', 'Cocktails', 'Craft Sodas', 'Delivery from Local Restaurants Available', 'Dog Friendly Zone', 'Experience', 'Food Service', 'Gender Neutral Washrooms', 'Hotel', 'Keg Sales/Rentals', 'Kombucha', 'Non Alc Beer Available', 'Patio', 'Shopping', 'Videogames', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/backroads-brewing-co-osoyoss/,15 Park Place,N/A,V0H 1V0,BC,N/A,https://backroadsbrewing.com/,"['https://twitter.com/backroadsbrews', 'https://www.facebook.com/backroadsbrews', 'https://www.instagram.com/backroadsbrewing/', 'https://untappd.com/BackroadsBrewingCo']",Canada
Bad Dog Brewing,Sooke,"['Gender Neutral Washrooms', 'Growler Fills', 'Has Tours', 'Merchandise', 'Picnics', 'Shopping', 'Snacks', 'Take-Out', 'Wheelchair Accessible']",https://bcaletrail.ca/breweries/bad-dog-brewing/,7861 Tugwell Rd,N/A,V9Z 0J7,BC,2506423621,http://www.baddogbrewing.ca,"['https://www.facebook.com/sookebaddogbrewing/', 'https://www.instagram.com/baddogbrewingco/']",Canada
Barkerville Brewing,Quesnel,"['Family Friendly', 'Growler Fills', 'Merchandise', 'Online Shopping - Merch', 'Shopping', 'Snacks', 'Take-Out']",https://bcaletrail.ca/breweries/barkerville-brewing-co/,185 Davie St,N/A,V2J 2S8,BC,7784142739,https://barkervillebeer.com,"['https://twitter.com/BarkervilleBeer', 'https://www.facebook.com/BarkervilleBeer/', 'https://www.instagram.com/barkervillebeer/', 'https://untappd.com/BarkervilleBrewingCo']",Canada
Barley Mill Brew Pub,Penticton,"['All Weather Patio', ""Baby Change Table (women's washroom)"", 'Bike Racks', 'Board Games', 'Brewpub', 'Cider', 'Cocktails', 'Dog Friendly Patio', 'Family Friendly', 'GF Food Options', 'Growler Fills', 'Keg Sales/Rentals', 'Live Music', 'Merchandise', 'Non Alc Beer Available', 'Patio', 'Snacks', 'Spirits', 'Wine']",https://bcaletrail.ca/breweries/barley-mill-brew-pub-bistro/,2460 Skaha Lake Rd,N/A,V2A 6E9,BC,2504938000,http://barleymillpub.com,"['https://twitter.com/barleymillbrew', 'https://www.facebook.com/Barley.Mill.Pub.Penticton/', 'https://www.instagram.com/barleymillpubpenticton/', 'https://untappd.com/w/barley-mill-brew-pub-british-columbia/34072']",Canada
Barley Station Brew Pub,Salmon Arm,"['Brewpub', 'GF Food Options', 'Growler Fills', 'Live Music', 'Merchandise']",https://bcaletrail.ca/breweries/barley-station-brew-pub/,20 Shuswap St S,N/A,V1E 1G1,BC,2508320999,http://barleystation.com,"['https://www.facebook.com/BarleyStationBrewPub/', 'https://www.instagram.com/barleystation/', 'https://untappd.com/w/barley-station-brew-pub-shuswap-lake-brewing-company/3035']",Canada
Barn Owl Brewing,Kelowna,"['Cider', 'Crowlers', 'Growler Fills', 'Take-Out', 'Wine']",https://bcaletrail.ca/breweries/barn-owl-brewing/,Lakeshore Rd,#102 - 4629,V1W 1X3,BC,7787609349,https://www.barnowlbrewing.ca/,"['https://www.facebook.com/pages/category/Brewery/Barn-Owl-Brewing-Company-1198749453615387/', 'https://www.instagram.com/barnowlbrew/', 'https://untappd.com/Barn_Owl_Brewing']",Canada
Barnside Brewing,Delta,"['Barrels', 'Beer Service', 'Brewpub', 'Cider', 'Craft Sodas', 'Crowlers', 'Dog Friendly Zone', 'Family Friendly', 'Farm', 'Food Service', 'Gender Neutral Washrooms', 'GF Food Options', 'Growler Fills', 'Keg Sales/Rentals', 'Patio', 'Tasting Room Kitchen', 'What Else?', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/barnside-brewing-co/,6655 60th Ave,N/A,V4K4E2,BC,7784342264,http://www.barnsidebrewing.ca,"['https://www.facebook.com/barnsidebrewing', 'http://www.instagram.com/barnsidebrewing', 'https://untappd.com/BarnsideBrewingCo']",Canada
Batch 44 Brewery & Kitchen,Sechelt,"['Beer Service', 'Brewpub', 'Experience', 'Family Friendly', 'Food Service', 'GF Food Options', 'Growler Fills', 'Take-Out', 'Wine']",https://bcaletrail.ca/breweries/batch-44-brewery-kitchen/,5559 Wharf Ave,N/A,V0N 3A0,BC,6047403805,https://www.batch44brewery.com/,"['https://www.facebook.com/pages/Batch-44-Brewery/102447004669676', 'https://www.instagram.com/batch44brewery/', 'https://untappd.com/w/batch-44-brewery/458038']",Canada
Bayview Brewing Company,Ladysmith,"['All Weather Patio', 'Baby Change Table (gender neutral washroom)', 'Bike Racks', 'Brewpub', 'Cider', 'Craft Sodas', 'Dog Friendly Patio', 'Family Friendly', 'Gender Neutral Washrooms', 'GF Food Options', 'Gluten-Free Beer', 'Growler Fills', 'Guest Taps', 'Has Tours', 'Kombucha', 'Merchandise', 'Non Alc Beer Available', 'Safe Space Signage', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/bayview-brewing-co/,204 Dogwood Drive,N/A,V9G 1S8,BC,2509120166,N/A,"['https://www.facebook.com/bayviewbrewingcompany/', 'https://www.instagram.com/bayviewbrewing/', 'http://www.untappd.com/bayviewbrewing']",Canada
Beach Fire Brewing,Campbell River,"['Beer Service', 'Brewpub', 'Cask Beer', 'Cider', 'Coffee', 'Craft Sodas', 'Family Friendly', 'Growler Fills', 'Has Tours', 'Keg Sales/Rentals', 'Kombucha', 'Live Music', 'Merchandise', 'Online Shopping - Gift Cards', 'Online Shopping - Merch', 'Shopping', 'Take-Out', 'Wine']",https://bcaletrail.ca/breweries/beach-fire-brewing/,594 11 Ave,N/A,V9W 4G4,BC,2509143473,http://www.beachfirebrewing.ca/,"['https://twitter.com/beachfirebrew', 'https://www.facebook.com/beachfirebrewing/', 'https://www.instagram.com/beachfirebrewing/', 'https://untappd.com/BeachFireBrewingCo']",Canada
Beacon Brewing,Sidney,"['Beer Service', 'Cider', 'Cocktails', 'Craft Sodas', 'Crowlers', 'Experience', 'Family Friendly', 'Gender Neutral Washrooms', 'Growler Fills', 'Keg Sales/Rentals', 'Live Music', 'Merchandise', 'Non Alc Beer Available', 'Snacks', 'Videogames', 'What Else?', 'Wine']",https://bcaletrail.ca/breweries/beacon-brewing/,9829 Third Street,N/A,V8L 3A7,BC,N/A,http://www.beaconbrewing.ca/,"['https://www.facebook.com/BeaconBrewing.Sidney', 'https://www.instagram.com/beacon.brewing/']",Canada
Beard’s Brewing,Fort St. John,"['Family Friendly', 'Food Truck(s)', 'Growler Fills', 'Merchandise', 'Take-Out']",https://bcaletrail.ca/breweries/beards-brewing/,10408 Alaska Rd North,N/A,N/A,BC,2502624104,https://www.beardsbrewing.ca/,"['https://twitter.com/beards_brewing', 'https://www.facebook.com/beardsbrewing/', 'https://www.instagram.com/beards.brewing/', 'https://untappd.com/w/beard-s-brewing-company/370489']",Canada
The Beer Farmers,Pemberton,"['Beer Service', 'Dog Friendly Zone', 'Family Friendly', 'Farm', 'Food Truck(s)', 'Growler Fills', 'Has Tours', 'Merchandise']",https://bcaletrail.ca/breweries/the-beer-farmers/,8324 Meadows Rd,N/A,V0N 2L2,BC,7788794033,https://www.thebeerfarmers.com/,"['https://www.facebook.com/thebeerfarmers/', 'https://www.instagram.com/thebeerfarmers/', 'https://untappd.com/w/the-beer-farmers/397530']",Canada
Beere Brewing,North Vancouver,"['Beer Service', 'Family Friendly', 'Growler Fills', 'Merchandise', 'Shopping', 'Snacks', 'Take-Out']",https://bcaletrail.ca/breweries/beere-brewing/,312 Esplanade E,N/A,N/A,BC,6049832163,https://www.beerebrewing.com/beerestore/,"['https://twitter.com/BeereBrewingCo', 'https://www.facebook.com/beerebrewing/', 'https://www.instagram.com/beerebrewingco/']",Canada
Beva Brewing & Blending,North Vancouver,"['Beer Service', 'Bike Racks', 'Brewpub', 'Cider', 'Cocktails', 'Dog Friendly Patio', 'Experience', 'Family Friendly', 'Food Service', 'Gender Neutral Washrooms', 'Guest Taps', 'Has Tours', 'Keg Sales/Rentals', 'Kombucha', 'Non Alc Beer Available', 'Patio', 'Snacks', 'What Else?', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/beva-brewing-blending/,1405 Pemberton Ave,N/A,V7P2R8,BC,N/A,https://www.bevabrewing.ca/,"['https://www.facebook.com/profile.php?id=100093881980814', 'https://www.instagram.com/bevabrewing/', 'https://untappd.com/BevaBrewingBlending']",Canada
Black Kettle Brewing,North Vancouver,"['Family Friendly', 'Growler Fills', 'Has Tours', 'Merchandise', 'Online Shopping - Gift Cards', 'Shopping', 'Snacks', 'Take-Out']",https://bcaletrail.ca/breweries/black-kettle-brewing/,6,720 Copping St #10,V7M 3G3,BC,6049879989,http://blackkettlebrewing.com,"['https://twitter.com/BlackKettleBeer', 'https://www.facebook.com/BlackKettleBrewing/', 'https://www.instagram.com/blackkettlebeer/', 'https://untappd.com/BlackKettleBrewingCompany']",Canada
BNA Brewing Co.,Kelowna,"['Baby Change Table (gender neutral washroom)', 'Barrels', 'Bike Racks', 'Board Games', 'Bowling', 'Brewpub', 'Cider', 'Cocktails', 'Dog Friendly Patio', 'Family Friendly', 'Gender Neutral Washrooms', 'GF Food Options', 'Growler Fills', 'Has Tours', 'Keg Sales/Rentals', 'Kombucha', 'Merchandise', 'Non Alc Beer Available', 'Online Ordering - Local Delivery', 'Online Shopping - Gift Cards', 'Online Shopping - Merch', 'Patio', 'Safe Space Signage', 'Spirits', 'Videogames', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/bna-brewing-co/,1250 Ellis St,N/A,V1Y 1Z4,BC,2364200025,http://bnabrewing.com,"['https://twitter.com/BNABrewing', 'https://www.facebook.com/BNAbrewing/', 'https://www.instagram.com/bnabrewing/', 'https://untappd.com/BNABrewingCo']",Canada
Bomber Brewing,Vancouver,"['Barrels', 'Family Friendly', 'Food Truck(s)', 'Growler Fills', 'Has Tours', 'Merchandise', 'Shopping', 'Snacks', 'Take-Out']",https://bcaletrail.ca/breweries/bomber-brewing/,1488 Adanac St,N/A,V5L 2C3,BC,6044287457,https://bomberbrewing.com,"['https://twitter.com/bomberbrewing', 'https://www.facebook.com/bomberbrewing/', 'https://www.instagram.com/bomberbrewing/', 'https://untappd.com/BomberBrewingVan']",Canada
Braggot Brewing,North Vancouver,[''],https://bcaletrail.ca/breweries/braggot-brewing/,102 - 370 Esplanade East,N/A,V7L 1A4,BC,N/A,https://braggottery.com/,['https://www.instagram.com/braggotbrewing/'],Canada
Brassneck Brewery,Vancouver,"['Barrels', 'Canada Post delivery across BC', 'Crowlers', 'Food Truck(s)', 'Growler Fills', 'Online Shopping - Gift Cards', 'Online Shopping - Merch', 'Shopping', 'Snacks', 'Take-Out']",https://bcaletrail.ca/breweries/brassneck-brewery/,2148 Main St,N/A,V5T 3C5,BC,6042597686,http://brassneck.ca,"['https://www.facebook.com/pages/Brassneck-Brewery/661469417210968', 'https://www.instagram.com/brassneckbrew/', 'https://untappd.com/w/brassneck-brewery/83539']",Canada
BREWHALL,Vancouver,"['Beer Service', 'Brewpub', 'Cider', 'Delivery through Skip the Dishes and Uber Eats', 'Experience', 'Family Friendly', 'Food Service', 'GF Food Options', 'Gluten-Free Beer', 'Merchandise', 'Take-Out', 'Videogames', 'What Else?', 'Wine']",https://bcaletrail.ca/breweries/brewhall-beer-co/,97 East 2nd Ave,N/A,V5T 1B3,BC,6047098623,http://brewhall.com/,"['https://www.facebook.com/Brewhall/', 'https://www.instagram.com/brewhall/', 'https://untappd.com/BREWHALLBeerCo']",Canada
The BrewHouse (High Mountain Brewing),Whistler,"['Barrels', 'Brewpub', 'Family Friendly', 'Growler Fills', 'Has Tours']",https://bcaletrail.ca/breweries/brewhouse-at-whistler/,4355 Blackcomb Way,N/A,V0N 1B4,BC,6049052739,https://mjg.ca/brewhouse/,"['https://twitter.com/BREWHOUSEatWHIS', 'https://www.facebook.com/HMBC.Brewhouse', 'https://untappd.com/w/brewhouse-high-mountain-brewing-co/5023']",Canada
Brewing August,Vancouver,"['Canada Post delivery across BC', 'Food Truck(s)', 'Keg Sales/Rentals', 'Merchandise', 'Online Ordering - Local Delivery']",https://bcaletrail.ca/breweries/brewing-august/,1614 W. 3rd Ave,N/A,V6J 1K2,BC,N/A,https://www.brewingaugust.com/,"['https://www.facebook.com/photo.php?fbid=531170842344601&set=pb.100063550707101.-2207520000..&type=3', 'https://www.instagram.com/brewingaugust/']",Canada
Bridge Brewing Company,North Vancouver,"['Barrels', 'Beer Service', 'Craft Sodas', 'Family Friendly', 'Food Service', 'Growler Fills', 'Keg Sales/Rentals', 'Merchandise', 'Shopping', 'Snacks', 'Take-Out', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/bridge-brewing-company/,1448 Charlotte Rd,N/A,V7J 1H2,BC,6047702739,https://www.bridgebrewingstore.com/,"['https://twitter.com/bridgebrewcrew', 'https://www.facebook.com/BridgeBrewCrew/', 'https://www.instagram.com/bridgebrewcrew/', 'https://untappd.com/BridgeBrewingCompany']",Canada
Bright Eye Brewing,Kamloops,"['Brewpub', 'Family Friendly', 'Growler Fills', 'Merchandise']",https://bcaletrail.ca/breweries/bright-eye-brewing/,292 Tranquille Rd,N/A,V2B 3G3,BC,2503121702,https://www.brighteyebrewing.com,"['https://www.facebook.com/pg/brighteyebrewing', 'https://www.instagram.com/brighteyebrewing', 'https://untappd.com/BrightEyeBrewing']",Canada
Brookswood Brewing Co,Langley,['Tasting Room Kitchen'],https://bcaletrail.ca/breweries/brookswood-brewing-co/,Street,#102 - 4061 200,V3A 1K8,BC,N/A,https://www.brookswoodbrewing.com/,"['https://twitter.com/Brookswoodbrew', 'https://www.facebook.com/brookswoodbrewing', 'https://www.instagram.com/brookswoodbrewingco/', 'https://untappd.com/Brookswood_Brewing_Co']",Canada
Buffalo Rouge Brewing,Kelowna,"['Beer Service', 'Bike Racks', 'Cider', 'Craft Sodas', 'Dog Friendly Zone', 'Experience', 'Food Service', 'Gender Neutral Washrooms', 'Guest Taps', 'Kombucha', 'Patio', 'Snacks', 'Tasting Room Kitchen', 'Vegan Options', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/buffalo-rouge-brewing-company/,5,1111 Gordon Drive #10,V1Y 3E3,BC,7789400170,https://buffalorougebrewing.com/,"['https://www.facebook.com/profile.php?id=100087725526765', 'https://www.instagram.com/buffalo.rouge.brewing/']",Canada
Bulkley Valley Brewery,Smithers,"['Family Friendly', 'Growler Fills', 'Live Music', 'Merchandise', 'Shopping', 'Take-Out']",https://bcaletrail.ca/breweries/bulkley-valley-brewery/,3860 1st Ave,N/A,V0J 2N0,BC,2508470699,http://www.bulkleyvalleybrewery.com,"['http://fb.me/BulkleyValleyBrewery', 'https://www.instagram.com/bulkleyvalleybrewery/', 'https://untappd.com/BulkleyValleyBrewery']",Canada
Camp Beer Co.,Langley,"['All Weather Patio', 'Baby Change Table (gender neutral washroom)', 'Barrels', 'Bike Racks', 'Board Games', 'Cask Beer', 'Cider', 'Craft Sodas', 'Dog Friendly Patio', 'Family Friendly', 'Gender Neutral Washrooms', 'GF Food Options', 'Growler Fills', 'Keg Sales/Rentals', 'Kombucha', 'Live Music', 'Merchandise', 'Non Alc Beer Available', 'Snacks', 'Tasting Room Kitchen', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/camp-beer-co/,110 - 19664 64 Avenue,N/A,V2Y 1H3,BC,6044274287,http://www.campbeer.ca,"['https://twitter.com/campbeerco', 'https://faceboook.com/campbeerco', 'https://www.instagram.com/campbeerco/', 'https://untappd.com/campbeerco']",Canada
Cannery Brewing,Penticton,"['Canada Post delivery across BC', 'Cider', 'Experience', 'Family Friendly', 'GF Food Options', 'Growler Fills', 'Has Tours', 'Keg Sales/Rentals', 'Live Music', 'Merchandise', 'Take-Out', 'Tasting Room Kitchen', 'Wine']",https://bcaletrail.ca/breweries/cannery-brewing/,198 Ellis Street,N/A,V2A 4L5,BC,2504932723,http://cannerybrewing.com,"['https://twitter.com/cannerybrewing', 'https://www.facebook.com/CanneryBrewing/', 'https://www.instagram.com/cannerybrewing/', 'https://untappd.com/cannerybrewing']",Canada
Canuck Empire Brewing Co,Abbotsford,"['Cider', 'Gender Neutral Washrooms', 'GF Food Options', 'Growler Fills', 'Keg Sales/Rentals', 'Snacks', 'Tasting Room Kitchen', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/canuck-empire-brewing-co/,C - 33797 King Road,Unit,V2S 7P2,BC,6047463616,https://canuckempirebrewing.com/,"['https://twitter.com/canuckempire', 'https://www.facebook.com/CanuckEmpire/', 'https://www.instagram.com/canuckempire/', 'https://untappd.com/CanuckEmpireBrewing']",Canada
Cask and Cleaver Brewing,100 Mile House,"['Beer Service', 'Bike Racks', 'Brewpub', 'Cider', 'Craft Sodas', 'Dog Friendly Zone', 'Experience', 'Family Friendly', 'Food Service', 'Gender Neutral Washrooms', 'GF Food Options', 'Growler Fills', 'Guest Taps', 'Kombucha', 'Non Alc Beer Available', 'Patio', 'What Else?', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/cask-and-cleaver-brewing/,175 Cariboo Hwy,N/A,V0K 2E0,BC,7784825180,https://www.caskandcleaver.com/,"['https://www.facebook.com/caskandcleaverbrewing/', 'https://www.instagram.com/caskandcleaver/', 'https://untappd.com/Cask_And_Cleaver']",Canada
Category 12 Brewing,Victoria,"['Barrels', 'Family Friendly', 'Growler Fills', 'Has Tours', 'Keg Sales/Rentals', 'Merchandise', 'Online Shopping - Gift Cards', 'Online Shopping - Merch', 'Shopping', 'Take-Out', 'Tasting Room Kitchen', 'Vegan-Friendly Beer']",https://bcaletrail.ca/breweries/category-12-brewing/,C Keating Cross Rd,2200 Unit,V8M 2A6,BC,2506529668,https://www.category12beer.com/,"['https://twitter.com/c12beer', 'https://www.facebook.com/C12beer/', 'https://www.instagram.com/c12beer/', 'https://untappd.com/Category12']",Canada
Central City Brewers & Distillers,Surrey,"['Barrels', 'Cider Production', 'Cocktails', 'Distilling', 'Dog Friendly Patio', 'Family Friendly', 'Food Truck(s)', 'Keg Sales/Rentals', 'Merchandise', 'Non Alc Beer Producer', 'Patio', 'Spirits', 'Wheelchair Accessible']",https://bcaletrail.ca/breweries/central-city-brewers-distillers/,11411 Bridgeview Dr,N/A,V3R 2N1,BC,6045882337,http://centralcitybrewing.com,"['https://twitter.com/centralcitybrew', 'https://www.facebook.com/CentralCityBrewing/', 'https://www.instagram.com/centralcitybrew/', 'https://untappd.com/RedRacerBrew']",Canada
Coast Mountain Brewing,Whistler,"['Barrels', 'Bike Racks', 'Canada Post delivery across BC', 'Cider', 'Craft Sodas', 'Dog Friendly Zone', 'Events', 'Experience', 'Family Friendly', 'Food Service', 'Gender Neutral Washrooms', 'GF Food Options', 'Gluten-Free Beer', 'Growler Fills', 'Guest Taps', 'Keg Sales/Rentals', 'Kombucha', 'Live Music', 'Merchandise', 'Non Alc Beer Available', 'Online Ordering - Local Delivery', 'Online Shopping - Gift Cards', 'Online Shopping - Merch', 'Outside food permitted', 'Patio', 'Shopping', 'Snacks', 'Videogames', 'What Else?', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/coast-mountain-brewing/,2 - 1212 Alpha Lake,N/A,V8E 0R5,BC,6049623230,https://www.coastmountainbrewing.com/,"['https://twitter.com/coastmtnbrewing', 'https://www.facebook.com/CoastMountainBrewing/', 'https://www.instagram.com/coastmountainbeer/', 'https://untappd.com/w/coast-mountain-brewing/294125']",Canada
